類型,分類,中文名稱,英文名稱,C語言名稱,描述,來源文件,範例,狀態,簽名,格式提示,語言
已知符號,數據類型,整數,,int,32位整數,symbols.yml,,已記錄,,,
已知符號,數據類型,小數,,float,32位浮點,symbols.yml,,已記錄,,,
已知符號,數據類型,雙精度小數,,double,64位浮點,symbols.yml,,已記錄,,,
已知符號,數據類型,布林,,bool,布林值 true/false,symbols.yml,,已記錄,,,
已知符號,數據類型,字串,,char*,以null結尾的字串,symbols.yml,,已記錄,,,
已知符號,常數,圓周率,,3.141592653589793,π 常數,symbols.yml,,已記錄,,,
已知符號,函數,輸出字串,,printf,輸出字串並換行,symbols.yml,"輸出字串(""你好"")",已記錄,void (訊息:字串),"%s
",
已知符號,函數,輸出整數,,printf,輸出整數並換行,symbols.yml,輸出整數(42),已記錄,void (值:整數),"%d
",
已知符號,函數,輸出小數,,printf,輸出浮點數並換行,symbols.yml,小數 x = 3.14； 輸出小數(x),已記錄,void (值:小精度小數|雙精度小數),"%f
",
已知符號,函數,輸出布林,,printf,true/false 以 1/0 形式輸出,symbols.yml,布林 ok = 真； 輸出布林(ok),已記錄,void (值:布林),"%d
",
已知符號,函數,隨機數,,rand,回傳 0..RAND_MAX 的隨機整數,symbols.yml,整數 r = 隨機數()； 輸出整數(r),已記錄,整數 (),,
已知符號,函數,長度,,strlen,取得字串長度（位元組）,symbols.yml,"字串 s = ""你好""； 輸出整數(長度(s))",已記錄,整數 (字串值:字串),,
關鍵字,關鍵字_PRINT,,show,,en 語言的 PRINT 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_PRINT,,print,,en 語言的 PRINT 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_LET,,let,,en 語言的 LET 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_LET,,var,,en 語言的 LET 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_EQUAL,,=,,en 語言的 EQUAL 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_IF,,if,,en 語言的 IF 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_THEN,,then,,en 語言的 THEN 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_ELSE,,else,,en 語言的 ELSE 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_LOOP,,repeat,,en 語言的 LOOP 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_LOOP,,loop,,en 語言的 LOOP 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_TIMES,,times,,en 語言的 TIMES 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_DEF,,def,,en 語言的 DEF 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_RETURN,,return,,en 語言的 RETURN 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_BEGIN,,begin,,en 語言的 BEGIN 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_BEGIN,,{,,en 語言的 BEGIN 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_END,,end,,en 語言的 END 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_END,,},,en 語言的 END 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_OPENQ,,"""",,en 語言的 OPENQ 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_CLOSEQ,,"""",,en 語言的 CLOSEQ 關鍵字,locales\en.json,,已記錄,,,en
關鍵字,關鍵字_PRINT,,,,ko_template 語言的 PRINT 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_PRINT,,,,ko_template 語言的 PRINT 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_LET,,,,ko_template 語言的 LET 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_LET,,,,ko_template 語言的 LET 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_EQUAL,,,,ko_template 語言的 EQUAL 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_IF,,,,ko_template 語言的 IF 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_THEN,,,,ko_template 語言的 THEN 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_ELSE,,,,ko_template 語言的 ELSE 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_LOOP,,,,ko_template 語言的 LOOP 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_LOOP,,,,ko_template 語言的 LOOP 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_TIMES,,,,ko_template 語言的 TIMES 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_DEF,,,,ko_template 語言的 DEF 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_RETURN,,,,ko_template 語言的 RETURN 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_BEGIN,,,,ko_template 語言的 BEGIN 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_BEGIN,,,,ko_template 語言的 BEGIN 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_END,,,,ko_template 語言的 END 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_END,,,,ko_template 語言的 END 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_OPENQ,,,,ko_template 語言的 OPENQ 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_CLOSEQ,,,,ko_template 語言的 CLOSEQ 關鍵字,locales\ko_template.json,,已記錄,,,ko_template
關鍵字,關鍵字_PRINT,顯示,,,zh-TW 語言的 PRINT 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_PRINT,輸出,,,zh-TW 語言的 PRINT 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_LET,變數,,,zh-TW 語言的 LET 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_LET,設定,,,zh-TW 語言的 LET 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_LET,設,,,zh-TW 語言的 LET 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_EQUAL,=,,,zh-TW 語言的 EQUAL 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_EQUAL,為,,,zh-TW 語言的 EQUAL 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_EQUAL,是,,,zh-TW 語言的 EQUAL 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_IF,若,,,zh-TW 語言的 IF 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_IF,如果,,,zh-TW 語言的 IF 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_THEN,則,,,zh-TW 語言的 THEN 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_THEN,那麼,,,zh-TW 語言的 THEN 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_ELSE,否則,,,zh-TW 語言的 ELSE 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
關鍵字,關鍵字_ELSE,不然,,,zh-TW 語言的 ELSE 關鍵字,locales\zh-TW.json,,已記錄,,,zh-TW
